t,regime,mean_corr,true_price,static_price,qrc_price,static_err,qrc_err,static_quality,qrc_quality
62,stressed,0.7919357144166996,11.513854749179103,12.808691089336598,11.643099302094178,11.245897819319046,1.1225133174820543,0.5,0.95
63,stressed,0.8202025428407269,11.629946152396428,10.323966377773353,11.787206759228795,11.229456761964197,1.3522040839368972,0.5,0.9400000000000001
64,stressed,0.8128775195361383,11.600006015041423,12.908129502172542,11.730586408974752,11.27692076568676,1.1256924674350048,0.5,0.95
65,stressed,0.7962777042116916,11.531785212401772,12.82938826864897,11.40232994432401,11.252403963019535,1.1225952070156584,0.5,0.95
66,stressed,0.7040614392350479,11.142907525679789,9.913178642128209,11.291085250284056,11.03597854256229,1.3297940798914332,0.5,0.9400000000000001
67,stressed,0.7986743062275392,11.54166671948773,10.249469155741984,11.399101001617673,11.19593551912144,1.2352264307661782,0.5,0.9450000000000001
68,stressed,0.8030115104970513,11.55952191061266,12.861403466923953,11.42963596293584,11.262416961345536,1.1236273323516248,0.5,0.95
69,stressed,0.9,11.949899209727938,10.594102246538128,12.085889431117721,11.345676975133898,1.1380030827295875,0.5,0.95
70,stressed,0.790381951760944,11.507429651835047,12.801274416539528,11.339643542716502,11.243560063807616,1.458067650161899,0.5,0.935
71,stressed,0.8150773671166807,11.60900806964844,12.918519047418684,11.778956122776925,11.28012806877049,1.4639325953507833,0.5,0.935
72,stressed,0.8571411407257511,11.779440887723752,10.45015894902587,11.592846322544709,11.284762590754434,1.5840697954816085,0.5,0.93
73,stressed,0.8375966516343387,11.700647996763863,10.38364200979322,11.832786969345669,11.25583802995267,1.1293303808332085,0.5,0.95
74,stressed,0.870139715546805,11.831471678129262,13.175218216622675,11.965633569253995,11.357391329240624,1.133940855157816,0.5,0.95
75,stressed,0.729907446860386,11.253658466392721,10.006543147985674,11.040987619313917,11.081865707328516,1.8897929745594515,0.5,0.915
76,stressed,0.7504731837434656,11.340783974649149,10.08001118112093,11.201654537713225,11.117157300117103,1.2268061647848172,0.5,0.9450000000000001
77,stressed,0.7716851135198615,11.42974872141059,12.711598096341746,11.583283341451285,11.215026735714254,1.343289548903981,0.5,0.9400000000000001
78,stressed,0.7224668284466934,11.221920507095426,12.47161214480473,11.0474565988428,11.13616548004547,1.554670683527973,0.5,0.93
79,stressed,0.8034281487403014,11.561235235800979,12.863381026280784,11.288501670181923,11.26303343822232,2.359034826784759,0.5,0.895
80,stressed,0.7540287882883099,11.355759416478143,12.626171265406349,11.507914366949223,11.187379041200298,1.3398923391269606,0.5,0.9400000000000001
81,stressed,0.877496720250877,11.860790713870912,10.518847558561355,11.726237022155388,11.314112083102412,1.1344411596283122,0.5,0.95
82,stressed,0.7608373353831882,11.384364475607889,10.116766644100757,11.257201033430213,11.134550674506986,1.1170007992113689,0.5,0.95
83,stressed,0.7838969241897162,11.48056274112971,12.770260220602232,11.609290655666534,11.233747931642014,1.1212683336126905,0.5,0.95
84,stressed,0.8406758608684836,11.713106929287875,13.038650521011313,11.845438701504548,11.316754809170238,1.1297751571428614,0.5,0.95
85,stressed,0.7384567841783023,11.28998300355834,10.037171465251909,11.415748796131837,11.096664520323676,1.1139590957210264,0.5,0.95
86,stressed,0.7196258382719387,11.20977150170578,12.45758028878506,11.334288170756317,11.131438200050743,1.1107868615483207,0.5,0.95
87,stressed,0.8092316929266152,11.585066987690688,12.890887542140497,11.454784533716271,11.271583978213192,1.1245722973621441,0.5,0.95
88,stressed,0.8129941397124212,11.600483465381643,10.299101581700278,11.469961785481608,11.218341783469379,1.1251400020485336,0.5,0.95
89,stressed,0.8390911435888655,11.706697059186183,10.388748178220084,11.534891155137451,11.258076247321288,1.4675864864369808,0.5,0.935
90,stressed,0.8260970782808449,11.65396749698975,12.970405568405994,11.785383816802614,11.296050651902734,1.1276530490308052,0.5,0.95
91,stressed,0.8148492336616594,11.608074936457598,12.917442097854433,11.464375331477846,11.27979590555961,1.2379279576188178,0.5,0.9450000000000001
92,stressed,0.7659987639210755,11.405987640686668,12.684165251627434,11.610130943464618,11.20619845651364,1.7897906714342233,0.5,0.92
93,stressed,0.8116126848580503,11.594826075596899,12.902151099655875,11.725326194548892,11.275072308419038,1.125503031275738,0.5,0.95
94,stressed,0.8146536236649341,11.607274756891641,10.304832875313082,11.907960188935057,11.220910238256009,2.5904912078081757,0.5,0.885
95,stressed,0.7642824290986816,11.398803153123247,12.675870313369145,11.526261278957485,11.20351973001644,1.1181711283374058,0.5,0.95
96,stressed,0.8932887255572379,11.923413136790813,13.281279819519746,11.665976904605053,11.388238142475387,2.1590817095099797,0.5,0.905
97,stressed,0.8236916460455894,11.644172608116172,10.335973331074186,11.89362759252851,11.234798049370639,2.1423160992861296,0.5,0.905
98,stressed,0.751265916488634,11.344125010589607,10.08282883375675,11.584737505574815,11.11849680478179,2.1210317654345148,0.5,0.905
99,stressed,0.8393542301871226,11.7077615050651,13.032482372279802,11.840010561699913,11.31489453933265,1.1295844775928998,0.5,0.95
